iter	MultiClass
0	5.306523673
1	5.256821432
2	5.21068126
3	5.164019982
4	5.118167737
5	5.071752544
6	5.029109606
7	4.985354611
8	4.942381587
9	4.898536122
10	4.855692145
11	4.818171382
12	4.777140968
13	4.739250861
14	4.699893019
15	4.67379972
16	4.636424098
17	4.599137002
18	4.560769471
19	4.52216411
20	4.483762066
21	4.445600641
22	4.410327625
23	4.373896986
24	4.341124228
25	4.31188441
26	4.27988981
27	4.249954582
28	4.223083067
29	4.194135907
30	4.162668977
31	4.13160625
32	4.105172843
33	4.076189524
34	4.048570043
35	4.018864681
36	3.991093689
37	3.962804992
38	3.933621345
39	3.914295868
40	3.890566134
41	3.865626705
42	3.838964121
43	3.813440584
44	3.78751193
45	3.762486431
46	3.738930653
47	3.717348068
48	3.693786191
49	3.670945627
50	3.651038603
51	3.627715655
52	3.613466449
53	3.590632791
54	3.573155257
55	3.559892032
56	3.538111634
57	3.516666535
58	3.496571996
59	3.476126832
60	3.454893904
61	3.434976737
62	3.413542454
63	3.394801908
64	3.375584557
65	3.356796233
66	3.335743024
67	3.31742121
68	3.300136715
69	3.283101952
70	3.265398759
71	3.249460721
72	3.23176439
73	3.213845169
74	3.198943753
75	3.18323342
76	3.168465008
77	3.153765913
78	3.136837317
79	3.122069565
80	3.107452242
81	3.091193422
82	3.07559055
83	3.061672759
84	3.046931633
85	3.030751394
86	3.015809999
87	3.00214085
88	2.988179511
89	2.974032855
90	2.960972635
91	2.94864004
92	2.935705112
93	2.921887624
94	2.908364951
95	2.896162125
96	2.884122477
97	2.871044176
98	2.86071907
99	2.848832743
