iter	Passed	Remaining
0	161	16031
1	188	9213
2	206	6691
3	232	5586
4	253	4824
5	280	4397
6	306	4073
7	330	3806
8	356	3608
9	393	3543
10	422	3421
11	438	3219
12	464	3108
13	490	3010
14	515	2922
15	527	2769
16	552	2698
17	578	2635
18	603	2574
19	628	2514
20	654	2463
21	681	2415
22	706	2365
23	729	2310
24	755	2266
25	771	2196
26	792	2142
27	817	2102
28	833	2041
29	859	2004
30	884	1969
31	909	1932
32	925	1879
33	949	1843
34	974	1810
35	1009	1794
36	1048	1785
37	1074	1753
38	1100	1720
39	1113	1670
40	1127	1622
41	1152	1591
42	1178	1561
43	1203	1531
44	1229	1502
45	1254	1472
46	1279	1442
47	1304	1413
48	1329	1383
49	1354	1354
50	1379	1325
51	1403	1295
52	1417	1256
53	1441	1228
54	1457	1192
55	1468	1153
56	1493	1126
57	1518	1099
58	1543	1072
59	1569	1046
60	1594	1019
61	1620	993
62	1644	965
63	1674	942
64	1703	917
65	1729	891
66	1755	864
67	1780	837
68	1806	811
69	1831	784
70	1856	758
71	1882	732
72	1908	705
73	1933	679
74	1959	653
75	1985	626
76	2010	600
77	2035	574
78	2060	547
79	2086	521
80	2112	495
81	2138	469
82	2163	443
83	2188	416
84	2213	390
85	2238	364
86	2264	338
87	2290	312
88	2315	286
89	2341	260
90	2367	234
91	2393	208
92	2418	182
93	2445	156
94	2471	130
95	2496	104
96	2522	78
97	2547	51
98	2571	25
99	2598	0
