ds,trend,cap,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-05,25753.110300985376,64226.25000000001,22724.296653952213,31548.446252738493,25753.110300985376,25753.110300985376,1303.2962200774007,1303.2962200774007,1303.2962200774007,1303.2962200774007,1303.2962200774007,1303.2962200774007,0.0,0.0,0.0,27056.406521062778
2015-01-12,25760.33582477661,64226.25000000001,22627.186011116108,31442.331029968613,25760.33582477661,25760.33582477661,1353.6186045095017,1353.6186045095017,1353.6186045095017,1353.6186045095017,1353.6186045095017,1353.6186045095017,0.0,0.0,0.0,27113.95442928611
2015-01-19,25767.562018060427,64226.25000000001,22301.21284678579,31140.785274095182,25767.562018060427,25767.562018060427,1050.762409328318,1050.762409328318,1050.762409328318,1050.762409328318,1050.762409328318,1050.762409328318,0.0,0.0,0.0,26818.324427388747
2015-01-26,25774.78888013722,64226.25000000001,21888.829060825894,30133.0904934046,25774.78888013722,25774.78888013722,560.7606093455688,560.7606093455688,560.7606093455688,560.7606093455688,560.7606093455688,560.7606093455688,0.0,0.0,0.0,26335.54948948279
2015-02-02,25782.016410307097,64226.25000000001,21544.65946926091,30124.90053359397,25782.016410307097,25782.016410307097,-25.977447958486042,-25.977447958486042,-25.977447958486042,-25.977447958486042,-25.977447958486042,-25.977447958486042,0.0,0.0,0.0,25756.03896234861
2015-02-09,25789.2446078699,64226.25000000001,20597.181425423114,29536.077004452804,25789.2446078699,25789.2446078699,-620.9852414203683,-620.9852414203683,-620.9852414203683,-620.9852414203683,-620.9852414203683,-620.9852414203683,0.0,0.0,0.0,25168.259366449533
2015-02-16,25796.473472125184,64226.25000000001,20194.28207717675,29185.097494974645,25796.473472125184,25796.473472125184,-1072.7960511768347,-1072.7960511768347,-1072.7960511768347,-1072.7960511768347,-1072.7960511768347,-1072.7960511768347,0.0,0.0,0.0,24723.67742094835
2015-02-23,25803.703002372244,64226.25000000001,20146.358413589158,28792.394475375633,25803.703002372244,25803.703002372244,-1234.5883117578765,-1234.5883117578765,-1234.5883117578765,-1234.5883117578765,-1234.5883117578765,-1234.5883117578765,0.0,0.0,0.0,24569.114690614366
2015-03-02,25810.93319791009,64226.25000000001,20313.873004773035,29126.096913210178,25810.93319791009,25810.93319791009,-1079.3502719554315,-1079.3502719554315,-1079.3502719554315,-1079.3502719554315,-1079.3502719554315,-1079.3502719554315,0.0,0.0,0.0,24731.58292595466
2015-03-09,25818.164058037455,64226.25000000001,20870.867694654447,29695.24573874958,25818.164058037455,25818.164058037455,-712.907986271502,-712.907986271502,-712.907986271502,-712.907986271502,-712.907986271502,-712.907986271502,0.0,0.0,0.0,25105.256071765954
2015-03-16,25825.395582052806,64226.25000000001,21422.38504700476,29837.64526699624,25825.395582052806,25825.395582052806,-283.10432497687344,-283.10432497687344,-283.10432497687344,-283.10432497687344,-283.10432497687344,-283.10432497687344,0.0,0.0,0.0,25542.291257075933
2015-03-23,25832.627769254334,64226.25000000001,21375.27984037601,30086.990725444542,25832.627769254334,25832.627769254334,88.99573597481458,88.99573597481458,88.99573597481458,88.99573597481458,88.99573597481458,88.99573597481458,0.0,0.0,0.0,25921.62350522915
2015-03-30,25826.35094499908,64226.25000000001,21954.175328754172,30456.035230581983,25826.35094499908,25826.35094499908,303.62454762816174,303.62454762816174,303.62454762816174,303.62454762816174,303.62454762816174,303.62454762816174,0.0,0.0,0.0,26129.975492627244
2015-04-06,25820.074620214615,64226.25000000001,21527.130196760427,30334.80360593726,25820.074620214615,25820.074620214615,294.24168627288674,294.24168627288674,294.24168627288674,294.24168627288674,294.24168627288674,294.24168627288674,0.0,0.0,0.0,26114.3163064875
2015-04-13,25813.79879535978,64226.25000000001,21441.80461330504,30194.879348389226,25813.79879535978,25813.79879535978,120.47094222821585,120.47094222821585,120.47094222821585,120.47094222821585,120.47094222821585,120.47094222821585,0.0,0.0,0.0,25934.269737587998
